"gender_feedback","award_shown","classic_shown","forms_shown","female_pick","award_pick","classic_pick","forms_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,0,1,1,2,"Ray Bradbury","Jorge Luis Borges","F. Scott Fitzgerald","Zadie Smith","Jane Austen","Cormac McCarthy","Herman Melville","White / Caucasian","Man",35,1,1,"1Extremely liberal",1,-3,-0.460540510241677,-1.02269808819099,-0.591661458060861,-0.535000006022705,-0.652475015629059,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,1,1,0,1,"George Orwell","Jane Austen","J.R.R. Tolkien","Jack London","Charles Dickens","Ray Bradbury","John Steinbeck","White / Caucasian","Woman",41,0,1,"6Conservative",6,2,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
0,1,1,1,1,0,0,0,3,"Jane Austen","Sylvia Plath","Kurt Vonnegut","John Steinbeck","F. Scott Fitzgerald","Isabel Allende","Zadie Smith","Hispanic / Latinx","Woman",46,0,0,"2Liberal",2,-2,-0.953513450782064,-0.0099937923927457,-0.0892450244002415,-0.535000006022705,-0.396938068399439,-0.901279074134507,-1.45063988374767,-0.834647410923539,-1.06218878960191,73
1,1,0,1,0,1,1,1,1,"Ian McEwan","Ernest Hemingway","Joyce Carol Oates","J.D. Salinger","F. Scott Fitzgerald","Nathaniel Hawthorne","Ray Bradbury","White / Caucasian","Woman",35,0,1,"7Extremely conservative",7,3,0.525405370839096,-0.0099937923927457,0.915587842920998,-0.535000006022705,0.223999853836161,0.106032832251119,-0.390556891778219,-0.339075510687688,-0.20786652340493,73
1,0,1,1,1,0,1,0,1,"Nathaniel Hawthorne","George Orwell","Lucy Maud","Kurt Vonnegut","F. Scott Fitzgerald","Charles Dickens","Jane Austen","White / Caucasian","Woman",73,0,1,"2Liberal",2,-2,-0.460540510241677,1.0027105034055,0.915587842920998,1.01888536178846,0.619160799468321,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,1,0,0,0,1,1,0,"Kurt Vonnegut","George Orwell","Ernest Hemingway","J.D. Salinger","Ray Bradbury","Jack London","J.R.R. Tolkien","White / Caucasian","Man",42,1,1,"4Moderate; middle of the road",4,0,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-1.40493502732732,-0.920598387762946,-0.834647410923539,-1.05339360867127,73
1,1,0,1,0,0,1,1,1,"John Steinbeck","Ray Bradbury","J.R.R. Tolkien","F. Scott Fitzgerald","Charles Dickens","Jane Austen","Kurt Vonnegut","White / Caucasian","Man",34,1,1,"3Slightly liberal",3,-1,-0.953513450782064,-1.02269808819099,-1.09407789172148,-0.0170382167523155,-0.771831911861714,-0.397623120941694,-0.390556891778219,-0.834647410923539,-0.540942474547818,73
1,1,1,0,0,1,1,0,2,"Sylvia Plath","Jane Austen","Ian McEwan","George Orwell","Charles Dickens","Ernest Hemingway","John Steinbeck","White / Caucasian","Man",52,1,1,"6Conservative",6,2,-0.953513450782064,-1.02269808819099,-1.09407789172148,-0.535000006022705,-0.901322359179311,-0.397623120941694,-0.390556891778219,-0.339075510687688,-0.375751841135867,73
0,1,1,1,0,0,1,1,1,"J.R.R. Tolkien","Ray Bradbury","F. Scott Fitzgerald","Isabel Allende","Michael Crichton","George Orwell","Kurt Vonnegut","Hispanic / Latinx","Man",28,1,0,"2Liberal",2,-2,0.0324324302987097,1.0027105034055,0.413171409260378,0.500923572518074,0.487309478870666,0.609688785443931,0.139484604206507,0.652068289784015,0.467080559811484,73
1,1,0,1,1,0,1,1,2,"Cormac McCarthy","F. Scott Fitzgerald","Jane Austen","Ernest Hemingway","J.R.R. Tolkien","Joyce Carol Oates","Lucy Maud","White / Caucasian","Man",34,1,1,"5Slightly conservative",5,1,-0.953513450782064,-1.52905023609012,-1.5964943253821,-1.05296179529309,-1.28300495188684,-0.901279074134507,-1.45063988374767,-1.33021931115939,-1.22737942301386,73
0,1,1,1,0,0,1,0,2,"Kurt Vonnegut","Jane Austen","Ernest Hemingway","J.R.R. Tolkien","Sylvia Plath","George Orwell","Charles Dickens","White / Caucasian","Man",29,1,1,"2Liberal",2,-2,-1.44648639132245,-0.51634594029187,-0.591661458060861,-1.57092358456348,-1.03135434355967,-1.40493502732732,-0.920598387762946,-1.33021931115939,-1.21858424208322,73
0,1,1,1,1,0,1,0,1,"F. Scott Fitzgerald","J.R.R. Tolkien","Ray Bradbury","Isabel Allende","Jack London","Nathaniel Hawthorne","Jane Austen","White / Caucasian","Woman",35,0,1,"5Slightly conservative",5,1,0.0324324302987097,-1.02269808819099,-0.0892450244002415,1.01888536178846,-0.0151563301260157,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,1,0,0,1,1,1,5,"Jane Austen","Isabel Allende","Lucy Maud","Sylvia Plath","Joyce Carol Oates","Neil Gaiman","Gabriel Garcia Marquez","White / Caucasian","Woman",53,0,1,"4Moderate; middle of the road",4,0,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
1,1,1,0,0,1,1,1,2,"Lucy Maud","Charles Dickens","Jane Austen","George Orwell","J.R.R. Tolkien","Jack London","Ray Bradbury","White / Caucasian","Woman",52,0,1,"6Conservative",6,2,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
0,1,1,1,1,0,0,0,3,"Jack London","Gabriel Garcia Marquez","Sylvia Plath","Isabel Allende","J.R.R. Tolkien","Joyce Carol Oates","Zadie Smith","White / Caucasian","Man",38,1,1,"1Extremely liberal",1,-3,1.01837831137948,1.50906265130463,1.41800427658162,1.01888536178846,1.24108265026355,1.11334473863674,0.669526100191233,0.652068289784015,0.811646376203997,73
1,1,1,0,0,1,1,1,2,"George Orwell","Charles Dickens","George Saunders","Ernest Hemingway","Sylvia Plath","Isabel Allende","Ray Bradbury","White / Caucasian","Man",47,1,1,"7Extremely conservative",7,3,-0.460540510241677,-0.0099937923927457,-0.0892450244002415,-0.0170382167523155,-0.144204385946745,-0.397623120941694,0.139484604206507,0.156496389548164,-0.0338807090623411,73
0,1,1,1,0,1,1,0,6,"Jane Austen","Sylvia Plath","Lucy Maud","Joyce Carol Oates","Zadie Smith","Isabel Allende","John Steinbeck","White / Caucasian","Man",45,1,1,"5Slightly conservative",5,1,-0.953513450782064,-1.02269808819099,-0.591661458060861,-0.535000006022705,-0.775718250764156,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,0,1,1,0,0,1,2,"Charles Dickens","Jack London","Lucy Maud","J.R.R. Tolkien","Sylvia Plath","Cormac McCarthy","Isabel Allende","Asian / Pacific Islander","Woman",47,0,0,"2Liberal",2,-2,0.0324324302987097,1.0027105034055,0.915587842920998,1.01888536178846,0.742404034603418,0.106032832251119,0.669526100191233,0.156496389548164,0.310685107330172,73
0,1,1,1,0,0,1,0,0,"F. Scott Fitzgerald","George Orwell","Jack London","Ernest Hemingway","Ray Bradbury","John Steinbeck","Charles Dickens","White / Caucasian","Man",55,1,1,"6Conservative",6,2,-1.44648639132245,-1.52905023609012,-1.5964943253821,-0.0170382167523155,-1.14726729238675,0.106032832251119,-1.45063988374767,0.156496389548164,-0.39603688731613,73
0,1,1,1,0,0,1,0,0,"Ernest Hemingway","J.R.R. Tolkien","John Steinbeck","Charles Dickens","F. Scott Fitzgerald","Ray Bradbury","Jack London","White / Caucasian","Man",35,1,1,"4Moderate; middle of the road",4,0,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,0,1,1,1,"Charles Dickens","Ernest Hemingway","Jane Austen","Jack London","John Steinbeck","J.R.R. Tolkien","Herman Melville","White / Caucasian","Woman",49,0,1,"7Extremely conservative",7,3,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
1,1,1,0,1,0,0,1,2,"Jack London","Lucy Maud","Joyce Carol Oates","Neil Gaiman","Ray Bradbury","Kurt Vonnegut","Isabel Allende","White / Caucasian","Woman",30,0,1,"1Extremely liberal",1,-3,0.525405370839096,0.496358355506378,0.413171409260378,1.01888536178846,0.613455124348579,0.609688785443931,1.19956759617596,-1.33021931115939,0.159679023486833,73
0,1,1,1,0,0,1,0,1,"Kurt Vonnegut","George Orwell","Ray Bradbury","J.R.R. Tolkien","John Steinbeck","Sylvia Plath","J.D. Salinger","White / Caucasian","Man",62,1,1,"6Conservative",6,2,-0.953513450782064,-0.51634594029187,-1.09407789172148,-1.05296179529309,-0.904224769522127,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,0,1,1,1,"J.R.R. Tolkien","George Orwell","Ray Bradbury","Michael Crichton","Charles Dickens","Lucy Maud","Herman Melville","Asian / Pacific Islander","Man",57,1,0,"6Conservative",6,2,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,0,1,1,1,1,0,3,"John Steinbeck","Jane Austen","Zadie Smith","Isabel Allende","Herman Melville","Gabriel Garcia Marquez","Sylvia Plath","White / Caucasian","Man",39,1,1,"1Extremely liberal",1,-3,0.525405370839096,-0.0099937923927457,1.41800427658162,0.500923572518074,0.608584856886511,0.106032832251119,0.669526100191233,1.14764019001987,0.641066374154073,73
1,0,1,1,0,0,1,1,0,"J.D. Salinger","Kurt Vonnegut","Jack London","Ernest Hemingway","F. Scott Fitzgerald","Charles Dickens","Herman Melville","White / Caucasian","Man",45,1,1,"3Slightly liberal",3,-1,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
1,1,0,1,0,0,1,1,0,"Ernest Hemingway","John Steinbeck","J.D. Salinger","F. Scott Fitzgerald","Charles Dickens","Jack London","Kurt Vonnegut","White / Caucasian","Woman",65,0,1,"2Liberal",2,-2,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-1.45063988374767,-0.834647410923539,-1.06218878960191,73
1,1,0,1,0,0,1,1,3,"Kurt Vonnegut","Isabel Allende","Joyce Carol Oates","John Steinbeck","Gabriel Garcia Marquez","Zadie Smith","George Orwell","White / Caucasian","Man",50,1,1,"2Liberal",2,-2,-0.460540510241677,-1.02269808819099,-0.591661458060861,-0.535000006022705,-0.652475015629059,-0.901279074134507,-0.390556891778219,-0.834647410923539,-0.708827792278755,73
1,0,1,1,0,0,1,0,0,"John Steinbeck","J.D. Salinger","Ernest Hemingway","Kurt Vonnegut","George Orwell","Herman Melville","Charles Dickens","White / Caucasian","Man",47,1,1,"7Extremely conservative",7,3,-1.44648639132245,-1.52905023609012,0.413171409260378,-1.57092358456348,-1.03332220067892,-1.40493502732732,-0.390556891778219,-1.33021931115939,-1.04190374342164,73
0,1,1,1,0,1,1,0,3,"Isabel Allende","Ray Bradbury","Zadie Smith","Lucy Maud","Gabriel Garcia Marquez","George Saunders","John Steinbeck","Black or African American","Man",38,1,0,"7Extremely conservative",7,3,1.01837831137948,1.0027105034055,1.41800427658162,1.53684715105885,1.24398506060636,0.609688785443931,1.19956759617596,1.64321209025572,1.15082282395854,73
1,1,1,0,0,1,1,0,3,"F. Scott Fitzgerald","J.R.R. Tolkien","Isabel Allende","Zadie Smith","Gabriel Garcia Marquez","Jane Austen","John Steinbeck","White / Caucasian","Man",49,1,1,"2Liberal",2,-2,-1.44648639132245,-1.52905023609012,-0.591661458060861,-1.57092358456348,-1.28453041750923,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
1,0,1,1,0,0,1,0,2,"Jack London","Lucy Maud","Herman Melville","Nathaniel Hawthorne","Charles Dickens","Jane Austen","F. Scott Fitzgerald","White / Caucasian","Man",31,1,1,"4Moderate; middle of the road",4,0,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,1,0,0,0,1,1,2,"Charles Dickens","Ian McEwan","J.R.R. Tolkien","Gabriel Garcia Marquez","Jane Austen","Isabel Allende","George Orwell","White / Caucasian","Woman",56,0,1,"6Conservative",6,2,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
1,1,0,1,0,0,1,1,3,"Jane Austen","Gabriel Garcia Marquez","Ray Bradbury","Zadie Smith","Charles Dickens","Isabel Allende","Kurt Vonnegut","Black or African American","Woman",40,0,0,"3Slightly liberal",3,-1,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,0,1,1,2,"F. Scott Fitzgerald","Gabriel Garcia Marquez","Ernest Hemingway","Charles Dickens","Jane Austen","Zadie Smith","J.R.R. Tolkien","White / Caucasian","Woman",50,0,1,"6Conservative",6,2,0.0324324302987097,-0.0099937923927457,-0.0892450244002415,-0.0170382167523155,-0.0209611508116482,0.106032832251119,0.139484604206507,0.156496389548164,0.134004608668596,73
0,1,1,1,0,0,1,0,1,"Ernest Hemingway","Nathaniel Hawthorne","Jack London","Jane Austen","Neil Gaiman","Charles Dickens","F. Scott Fitzgerald","Black or African American","Woman",40,0,0,"4Moderate; middle of the road",4,0,-0.953513450782064,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.41249539920444,-1.40493502732732,-0.920598387762946,-1.33021931115939,-1.21858424208322,73
1,1,1,0,0,1,1,0,2,"Charles Dickens","Joyce Carol Oates","George Saunders","Cormac McCarthy","Ray Bradbury","Lucy Maud","Ernest Hemingway","White / Caucasian","Man",58,1,1,"3Slightly liberal",3,-1,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,1,1,0,2,"Ernest Hemingway","Isabel Allende","J.R.R. Tolkien","J.D. Salinger","Jane Austen","Charles Dickens","John Steinbeck","White / Caucasian","Woman",27,0,1,"5Slightly conservative",5,1,-0.460540510241677,0.496358355506378,0.413171409260378,0.500923572518074,0.237478206760788,0.609688785443931,0.669526100191233,-0.339075510687688,0.313379791649159,73
1,1,1,0,0,0,1,0,1,"Gabriel Garcia Marquez","Michael Crichton","Ray Bradbury","J.D. Salinger","Zadie Smith","Jack London","F. Scott Fitzgerald","White / Caucasian","Woman",42,0,1,"4Moderate; middle of the road",4,0,1.51135125191987,1.50906265130463,0.915587842920998,0.500923572518074,1.10923132966589,0.609688785443931,1.19956759617596,0.652068289784015,0.820441557134635,73
0,1,1,1,0,1,1,0,1,"Jorge Luis Borges","Kurt Vonnegut","Ray Bradbury","Joyce Carol Oates","J.R.R. Tolkien","Jack London","John Steinbeck","White / Caucasian","Man",38,1,1,"1Extremely liberal",1,-3,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,1,1,1,2,"John Steinbeck","Ernest Hemingway","Ian McEwan","J.R.R. Tolkien","Isabel Allende","Sylvia Plath","Gabriel Garcia Marquez","White / Caucasian","Woman",37,0,1,"5Slightly conservative",5,1,-0.460540510241677,1.0027105034055,0.413171409260378,0.500923572518074,0.364066243735569,0.106032832251119,1.19956759617596,0.652068289784015,0.652556239403698,73
1,1,1,0,0,1,1,1,0,"J.D. Salinger","George Orwell","J.R.R. Tolkien","Jack London","Kurt Vonnegut","John Steinbeck","Ray Bradbury","White / Caucasian","Man",51,1,1,"4Moderate; middle of the road",4,0,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,0,1,1,0,1,1,3,"Michael Crichton","Charles Dickens","Zadie Smith","Jane Austen","Joyce Carol Oates","George Saunders","Lucy Maud","White / Caucasian","Man",29,1,1,"2Liberal",2,-2,1.01837831137948,0.496358355506378,0.413171409260378,0.500923572518074,0.607207912166078,1.11334473863674,-0.390556891778219,1.14764019001987,0.623476012292797,73
0,1,1,1,1,0,0,1,4,"Jane Austen","J.R.R. Tolkien","Gabriel Garcia Marquez","Sylvia Plath","Joyce Carol Oates","Lucy Maud","Isabel Allende","White / Caucasian","Woman",27,0,1,"3Slightly liberal",3,-1,0.0324324302987097,0.496358355506378,-0.591661458060861,0.500923572518074,0.109513225065575,0.609688785443931,0.669526100191233,-0.339075510687688,0.313379791649159,73
0,1,1,1,0,0,1,0,1,"Cormac McCarthy","Gabriel Garcia Marquez","F. Scott Fitzgerald","J.D. Salinger","Kurt Vonnegut","Zadie Smith","Michael Crichton","White / Caucasian","Man",43,1,1,"3Slightly liberal",3,-1,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,0.106032832251119,-0.920598387762946,-0.834647410923539,-0.549737655478456,73
1,1,1,0,1,1,1,0,1,"Jack London","Jane Austen","J.D. Salinger","Herman Melville","Cormac McCarthy","Nathaniel Hawthorne","Sylvia Plath","White / Caucasian","Man",39,1,1,"6Conservative",6,2,0.525405370839096,-0.0099937923927457,0.915587842920998,0.500923572518074,0.482980748471356,0.106032832251119,0.669526100191233,0.156496389548164,0.310685107330172,73
1,0,1,1,0,0,1,0,1,"John Steinbeck","Sylvia Plath","Ian McEwan","Neil Gaiman","Ernest Hemingway","F. Scott Fitzgerald","Michael Crichton","White / Caucasian","Woman",42,0,1,"1Extremely liberal",1,-3,0.525405370839096,0.496358355506378,1.41800427658162,1.01888536178846,0.864663341178889,1.11334473863674,1.72960909216069,1.14764019001987,1.3301980069391,73
1,1,0,1,1,0,0,1,1,"John Steinbeck","Jack London","Jane Austen","Kurt Vonnegut","Cormac McCarthy","Ernest Hemingway","Isabel Allende","White / Caucasian","Man",39,1,1,"3Slightly liberal",3,-1,-0.460540510241677,0.496358355506378,0.413171409260378,0.500923572518074,0.237478206760788,-1.40493502732732,-0.920598387762946,-0.834647410923539,-1.05339360867127,73
1,1,0,1,0,1,1,0,1,"F. Scott Fitzgerald","George Orwell","Ian McEwan","Nathaniel Hawthorne","Jane Austen","Neil Gaiman","Ernest Hemingway","White / Caucasian","Woman",30,0,1,"2Liberal",2,-2,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,0,1,1,1,0,"Jack London","George Orwell","Charles Dickens","Michael Crichton","J.R.R. Tolkien","George Saunders","Gabriel Garcia Marquez","White / Caucasian","Woman",50,0,1,"1Extremely liberal",1,-3,1.01837831137948,1.0027105034055,0.915587842920998,1.01888536178846,0.988890504873612,0.609688785443931,1.19956759617596,0.652068289784015,0.820441557134635,73
1,1,0,1,0,0,1,1,3,"Charles Dickens","Jane Austen","Jack London","F. Scott Fitzgerald","Zadie Smith","Joyce Carol Oates","J.R.R. Tolkien","Black or African American","Woman",39,0,0,"4Moderate; middle of the road",4,0,-0.460540510241677,-0.51634594029187,0.413171409260378,-0.0170382167523155,-0.145188314506371,-0.901279074134507,0.669526100191233,0.156496389548164,-0.0250855281317033,73
0,1,1,1,1,0,1,0,1,"Jorge Luis Borges","John Steinbeck","J.R.R. Tolkien","Ernest Hemingway","Isabel Allende","F. Scott Fitzgerald","Jane Austen","White / Caucasian","Woman",46,0,1,"1Extremely liberal",1,-3,0.525405370839096,0.496358355506378,0.915587842920998,1.01888536178846,0.739059232763734,1.11334473863674,0.669526100191233,1.14764019001987,0.976837009615948,73
1,1,1,0,0,1,1,1,2,"Michael Crichton","John Steinbeck","Isabel Allende","Zadie Smith","F. Scott Fitzgerald","J.D. Salinger","Ray Bradbury","White / Caucasian","Man",51,1,1,"7Extremely conservative",7,3,1.51135125191987,0.496358355506378,0.915587842920998,1.53684715105885,1.11503615035152,1.11334473863674,0.669526100191233,1.14764019001987,0.976837009615948,73
1,1,0,1,0,0,0,0,2,"Joyce Carol Oates","Cormac McCarthy","Neil Gaiman","Ian McEwan","George Orwell","Isabel Allende","George Saunders","White / Caucasian","Man",48,1,1,"4Moderate; middle of the road",4,0,0.525405370839096,-0.0099937923927457,0.413171409260378,-0.535000006022705,0.0983957454210061,0.106032832251119,0.139484604206507,0.156496389548164,0.134004608668596,73
0,1,1,1,1,1,0,1,2,"Nathaniel Hawthorne","Neil Gaiman","J.R.R. Tolkien","Michael Crichton","Zadie Smith","Isabel Allende","Joyce Carol Oates","White / Caucasian","Woman",42,0,1,"2Liberal",2,-2,0.525405370839096,0.496358355506378,0.915587842920998,0.500923572518074,0.609568785446137,-0.397623120941694,-0.920598387762946,-0.834647410923539,-0.717622973209393,73
0,1,1,1,0,0,1,0,3,"Zadie Smith","Cormac McCarthy","John Steinbeck","Sylvia Plath","Jane Austen","Kurt Vonnegut","Michael Crichton","Asian / Pacific Islander","Woman",37,0,0,"2Liberal",2,-2,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
0,1,1,1,0,0,1,0,2,"Cormac McCarthy","Zadie Smith","Michael Crichton","Sylvia Plath","Kurt Vonnegut","Gabriel Garcia Marquez","Nathaniel Hawthorne","White / Caucasian","Woman",34,0,1,"5Slightly conservative",5,1,0.0324324302987097,-0.0099937923927457,0.413171409260378,-0.0170382167523155,0.104642957603507,0.609688785443931,0.139484604206507,0.652068289784015,0.467080559811484,73
0,1,1,1,0,1,1,0,1,"Nathaniel Hawthorne","Cormac McCarthy","Ray Bradbury","Michael Crichton","Herman Melville","Sylvia Plath","John Steinbeck","White / Caucasian","Man",54,1,1,"2Liberal",2,-2,0.0324324302987097,0.496358355506378,0.915587842920998,1.01888536178846,0.615815997628637,0.609688785443931,1.19956759617596,0.652068289784015,0.820441557134635,73
1,1,1,0,1,0,1,0,1,"J.D. Salinger","Jack London","Michael Crichton","Zadie Smith","F. Scott Fitzgerald","Gabriel Garcia Marquez","Jane Austen","White / Caucasian","Woman",43,0,1,"5Slightly conservative",5,1,1.01837831137948,0.496358355506378,0.915587842920998,1.01888536178846,0.862302467898831,1.11334473863674,0.669526100191233,0.652068289784015,0.811646376203997,73
1,1,0,1,0,0,1,1,2,"Gabriel Garcia Marquez","Charles Dickens","Sylvia Plath","Isabel Allende","George Orwell","Kurt Vonnegut","J.R.R. Tolkien","Black or African American","Man",34,1,0,"2Liberal",2,-2,1.01837831137948,-0.0099937923927457,-0.0892450244002415,1.01888536178846,0.48450621409374,0.106032832251119,0.139484604206507,-0.339075510687688,-0.0311860247433541,73
